diamonds,449
ta,449
wife,449
ring,449
fame,449
cream,449
knows,448
fun,448
funky,447
doubt,446
pen,445
reach,444
feed,444
fell,444
happy,444
bread,443
alive,441
lick,441
it),440
livin',439
lyrics,439
rollin,439
bank,438
whip,437
quit,437
win,437
head,,437
mind,,436
supposed,436
world,,435
bullets,435
hood,,434
motherfuckin',434
chance,433
minute,433
way,,430
treat,428
trick,428
there,,428
grand,428
(yeah),427
problem,427
rapper,427
raise,426
playa,426
folks,425
around,,425
seems,424
pocket,424
small,424
tech,423
count,422
trip,421
cross,420
lock,420
nah,419
stack,419
tears,418
later,417
gang,416
battle,416
heads,415
playin,415
soft,414
smell,414
tape,414
waiting,412
week,411
takes,410
seven,410
crowd,410
teach,409
trouble,409
changed,409
drunk,409
yours,409
guy,409
whether,408
night,,408
having,408
player,407
cos,406
runnin',406
pound,406
gat,405
click,405
repeat,405
giving,404
wack,403
don,403
pulled,402
liquor,401
tear,401
less,400
radio,400
enemy,400
yes,,399
killa,399
damn,,399
cat,399
me),399
law,398
chicks,398
cheese,397
short,397
clip,396
hits,395
dude,395
seem,394
loose,394
hot,,393
park,393
makin',393
welcome,392
ass,,392
outside,391
raised,391
mess,391
nuttin,391
stage,391
sent,391
rise,390
dig,389
sucker,389
dropped,389
dollars,389
sweat,388
fools,388
blunt,387
somethin',387
pistol,386
sign,386
figure,386
fo',385
enemies,385
mo,384
tip,383
die,,383
tongue,383
weight,383
upon,382
mac,381
records,381
they'll,381
near,380
all,,379
at?,379
evil,378
skin,378
died,378
self,378
dat,377
(i'm,376
happen,376
walking,376
loud,376
zone,376
face,,375
super,375
switch,375
clap,375
boom,373
holding,373
again,,372
i'ma,372
spread,372
bitches,,372
dogs,372
benz,371
nose,371
high,,371
telling,371
microphone,370
carry,370
moving,370
gimme,369
attack,369
mix,368
fiends,367
brown,367
house,,367
build,366
watching,366
block,,366
mack,365
peep,365
rolling,364
looked,364
bottom,364
class,363
someone,362
children,361
worry,361
finger,361
that?,361
de,360
pockets,360
taught,359
bodies,358
above,358
such,358
thick,358
platinum,358
